symbol,systematic_name,nutrient,rate,expression,bp,mf
SFB2,YNL049C,Glucose,0.05,-0.24,ER to Golgi transport,molecular function unknown
NA,YNL095C,Glucose,0.05,0.28,biological process unknown,molecular function unknown
QRI7,YDL104C,Glucose,0.05,-0.02,proteolysis and peptidolysis,metalloendopeptidase activity
CFT2,YLR115W,Glucose,0.05,-0.33,mRNA polyadenylylation*,RNA binding
SSO2,YMR183C,Glucose,0.05,0.05,vesicle fusion*,t-SNARE activity
PSP2,YML017W,Glucose,0.05,-0.69,biological process unknown,molecular function unknown
RIB2,YOL066C,Glucose,0.05,-0.55,riboflavin biosynthesis,pseudouridylate synthase activity*
VMA13,YPR036W,Glucose,0.05,-0.75,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism"
EDC3,YEL015W,Glucose,0.05,-0.24,deadenylylation-independent decapping,molecular function unknown
VPS5,YOR069W,Glucose,0.05,-0.16,protein retention in Golgi*,protein transporter activity
NA,YOL029C,Glucose,0.05,-0.22,biological process unknown,molecular function unknown
AMN1,YBR158W,Glucose,0.05,0.18,negative regulation of exit from mitosis*,protein binding
SCW11,YGL028C,Glucose,0.05,-0.67,"cytokinesis, completion of separation","glucan 1,3-beta-glucosidase activity"
DSE2,YHR143W,Glucose,0.05,-0.59,cell wall organization and biogenesis*,"glucan 1,3-beta-glucosidase activity"
COX15,YER141W,Glucose,0.05,-0.28,cytochrome c oxidase complex assembly*,"oxidoreductase activity, acting on NADH or NADPH, heme protein as acceptor"
SPE1,YKL184W,Glucose,0.05,-0.19,pantothenate biosynthesis*,ornithine decarboxylase activity
MTF1,YMR228W,Glucose,0.05,-0.42,transcription from mitochondrial promoter,S-adenosylmethionine-dependent methyltransferase activity*
KSS1,YGR040W,Glucose,0.05,-0.76,invasive growth (sensu Saccharomyces)*,MAP kinase activity
NA,YHR036W,Glucose,0.05,-0.91,biological process unknown,molecular function unknown
NA,YNL158W,Glucose,0.05,-0.47,biological process unknown,molecular function unknown
YAP7,YOL028C,Glucose,0.05,-0.51,positive regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity
NA,YBR074W,Glucose,0.05,-1.01,proteolysis and peptidolysis,metalloendopeptidase activity
YVC1,YOR087W,Glucose,0.05,-0.4,cation homeostasis,calcium channel activity*
CDC40,YDR364C,Glucose,0.05,-0.19,"nuclear mRNA splicing, via spliceosome*","RNA splicing factor activity, transesterification mechanism*"
NA,YPL162C,Glucose,0.05,-0.1,biological process unknown,molecular function unknown
RMD1,YDL001W,Glucose,0.05,-0.22,biological process unknown,molecular function unknown
PCL6,YER059W,Glucose,0.05,-0.25,regulation of glycogen biosynthesis*,cyclin-dependent protein kinase regulator activity
AI4,Q0065,Glucose,0.05,-0.36,RNA splicing*,endonuclease activity
GGC1,YDL198C,Glucose,0.05,0.76,mitochondrial genome maintenance*,guanine nucleotide transporter activity
SUL1,YBR294W,Glucose,0.05,-0.32,sulfate transport,sulfate transporter activity
RAD57,YDR004W,Glucose,0.05,-0.19,telomerase-independent telomere maintenance*,protein binding
NA,YBR292C,Glucose,0.05,-0.48,NA,NA
PER1,YCR044C,Glucose,0.05,-0.21,response to unfolded protein*,molecular function unknown
YHC3,YJL059W,Glucose,0.05,0.02,intracellular protein transport*,basic amino acid transporter activity
SGE1,YPR198W,Glucose,0.05,0.22,response to drug*,xenobiotic-transporting ATPase activity
HNM1,YGL077C,Glucose,0.05,-0.67,choline transport,choline transporter activity
SWI1,YPL016W,Glucose,0.05,-0.23,chromatin remodeling,general RNA polymerase II transcription factor activity
NAM8,YHR086W,Glucose,0.05,-0.24,"nuclear mRNA splicing, via spliceosome*",RNA binding*
NA,YLR356W,Glucose,0.05,0.61,biological process unknown,molecular function unknown
BGL2,YGR282C,Glucose,0.05,-0.08,cell wall organization and biogenesis,"glucan 1,3-beta-glucosidase activity"
ACT1,YFL039C,Glucose,0.05,-0.04,cell wall organization and biogenesis*,structural constituent of cytoskeleton
NA,YKL100C,Glucose,0.05,-0.19,biological process unknown,molecular function unknown
SFL1,YOR140W,Glucose,0.05,-0.18,negative regulation of transcription from RNA polymerase II promoter,specific transcriptional repressor activity
OYE3,YPL171C,Glucose,0.05,-0.9,biological process unknown,NADPH dehydrogenase activity
MMP1,YLL061W,Glucose,0.05,-0.58,S-methylmethionine transport,S-methylmethionine transporter activity
MHT1,YLL062C,Glucose,0.05,-1.38,sulfur amino acid metabolism,homocysteine S-methyltransferase activity
SUL2,YLR092W,Glucose,0.05,-1.14,sulfate transport,sulfate transporter activity
IPP1,YBR011C,Glucose,0.05,-0.55,phosphate metabolism,inorganic diphosphatase activity
CWP1,YKL096W,Glucose,0.05,-0.91,cell wall organization and biogenesis,structural constituent of cell wall
SNF11,YDR073W,Glucose,0.05,0.15,chromatin remodeling,general RNA polymerase II transcription factor activity
PEX25,YPL112C,Glucose,0.05,-0.2,peroxisome organization and biogenesis*,molecular function unknown
ELO1,YJL196C,Glucose,0.05,-0.37,"fatty acid elongation, unsaturated fatty acid",fatty acid elongase activity
NA,YNL275W,Glucose,0.05,0.14,transport*,anion transporter activity*
CDC13,YDL220C,Glucose,0.05,-0.79,telomere maintenance*,single-stranded DNA binding
FKH1,YIL131C,Glucose,0.05,-0.57,pseudohyphal growth*,transcription factor activity
SWD1,YAR003W,Glucose,0.05,-0.41,chromatin silencing at telomere*,histone lysine N-methyltransferase activity (H3-K4 specific)
